keyword,R241-17D,R241-18A,R241-18B,R241-18C,R241-18D,R241-18E,R241-18F,R241-18G,R241-18H,R241-18I,R241-18J,hits,notes
mainline_resume,R241-17D,0,0,0,0,0,0,0,0,0,0,1,只在R241-17D出现
runtime_activation_ready,R241-17D,R241-18A,0,0,0,0,0,0,0,0,0,2,R241-18A决策
readonly_runtime_entry,R241-17D,R241-18A,R241-18B,R241-18C,0,0,0,0,0,0,0,4,R241-18B设计,R241-18C计划
batch1,R241-17D,0,0,0,R241-18D,0,0,0,0,0,0,2,R241-18D批次1
batch2,R241-17D,0,0,0,0,R241-18E,0,0,0,0,0,2,R241-18E批次2
batch3,R241-17D,0,0,0,0,0,R241-18F,0,0,0,0,2,R241-18F批次3
batch4,R241-17D,0,0,0,0,0,0,R241-18G,0,0,0,2,R241-18G批次4
scope_reconciled,R241-17D,0,0,0,0,0,0,0,R241-18H,0,0,2,R241-18H范围协调
disabled_sidecar_stub,R241-17D,0,0,0,0,0,0,0,R241-18H,R241-18I,0,3,R241-18H协调,R241-18I合同
gateway_sidecar_review,R241-17D,0,0,0,0,0,0,0,R241-18H,0,R241-18J,3,R241-18H延迟,R241-18J完成
approve,R241-17D,R241-18A,R241-18B,R241-18C,0,R241-18E,0,0,R241-18H,R241-18I,R241-18J,8,多轮审批
blocked,R241-17D,R241-18A,0,0,0,0,0,0,R241-18H,0,R241-18J,5,多轮阻塞项
critical,R241-17D,R241-18A,0,R241-18C,0,0,0,0,0,0,R241-18J,4,多轮CRITICAL评级
validation_valid,R241-17D,R241-18A,R241-18B,R241-18C,R241-18D,R241-18E,R241-18F,R241-18G,R241-18H,R241-18I,R241-18J,11,全部轮次有效
no_runtime_write,R241-17D,R241-18A,R241-18B,R241-18C,0,R241-18E,0,0,R241-18H,R241-18I,R241-18J,8,全局不变量
no_network,R241-17D,R241-18A,R241-18B,R241-18C,0,R241-18E,0,0,R241-18H,R241-18I,R241-18J,8,全局不变量
gateway_main_path,R241-17D,R241-18A,0,R241-18C,0,0,0,0,0,0,R241-18J,4,阻塞于R241-18A/18J
SURFACE-010,R241-17D,R241-18A,0,0,0,0,0,0,R241-18H,0,0,3,内存运行时阻塞
SURFACE-014,R241-17D,R241-18A,0,0,0,0,0,0,0,0,R241-18J,2,网关主路径阻塞
memory_blocked,R241-17D,R241-18A,0,0,0,0,0,0,R241-18H,0,0,3,持续阻塞
disabled_by_default,R241-17D,R241-18A,R241-18B,R241-18C,0,0,0,0,R241-18H,R241-18I,0,6,设计时属性
implemented_now,R241-17D,R241-18A,R241-18B,R241-18C,0,0,0,0,R241-18H,R241-18I,0,6,全部为false
safety_checks,R241-17D,R241-18A,0,0,0,R241-18E,R241-18F,0,R241-18H,R241-18I,R241-18J,7,全部通过
prohibition,R241-17D,0,0,0,0,0,0,0,0,0,R241-18J,2,仅R241-18J验证
insufficient_data,R241-17D,0,0,0,0,0,R241-18F,0,0,0,0,2,R241-18F趋势报告
double_nesting,R241-17D,0,0,0,0,R241-18E,0,0,0,0,0,2,路径bug
STEP-001,R241-17D,0,0,R241-18C,R241-18D,0,0,0,0,0,0,3,internal_helper_binding
STEP-002,R241-17D,0,0,R241-18C,0,R241-18E,0,0,0,0,0,3,cli_binding_reuse
STEP-003,R241-17D,0,0,R241-18C,0,0,R241-18F,0,0,0,0,3,query_report_entry
STEP-004,R241-17D,0,0,R241-18C,0,0,0,R241-18G,0,0,0,3,feishu_dryrun_validate
STEP-005,R241-17D,0,0,R241-18C,0,0,0,0,R241-18H,R241-18I,0,4,disabled_sidecar_stub
STEP-006,R241-17D,0,0,R241-18C,0,0,0,0,R241-18H,0,R241-18J,4,gateway_sidecar_review
GSIC-003,R241-17D,0,0,0,0,0,0,0,0,0,R241-18J,2,blocking_gateway_main_path被阻塞
GSIC-004,R241-17D,0,0,0,0,0,0,0,0,0,R241-18J,2,blocking_fastapi_route被阻塞
CAND-001,R241-17D,0,0,0,0,0,0,0,R241-18H,0,0,2,disabled_sidecar_stub批准
CAND-002,R241-17D,0,0,0,0,0,0,0,R241-18H,0,0,2,agent_memory_read_binding阻塞
CAND-003,R241-17D,0,0,0,0,0,0,0,R241-18H,0,0,2,mcp_read_binding延迟
CAND-004,R241-17D,0,0,0,0,0,0,0,R241-18H,0,0,2,gateway_sidecar_review延迟
DSRT-001,R241-17D,0,0,0,0,0,0,0,0,R241-18I,0,2,foundation_diagnose
DSRT-002,R241-17D,0,0,0,0,0,0,0,0,R241-18I,0,2,audit_query
DSRT-003,R241-17D,0,0,0,0,0,0,0,0,R241-18I,0,2,trend_report
DSRT-004,R241-17D,0,0,0,0,0,0,0,0,R241-18I,0,2,feishu_dryrun
DSRT-005,R241-17D,0,0,0,0,0,0,0,0,R241-18I,0,2,feishu_presend
DSRT-006,R241-17D,0,0,0,0,0,0,0,0,R241-18I,0,2,truth_state
AUDQ,R241-17D,0,0,0,0,R241-18E,0,0,0,0,0,2,audit-query绑定
FEDR,R241-17D,0,0,0,0,R241-18E,0,0,0,0,0,2,feishu-dryrun绑定
TRND,R241-17D,0,0,0,0,0,R241-18F,0,0,0,0,2,trend-report绑定
